id,input_matrix,output_matrix,functions
0,"[[5 5 2 5]
 [2 3 3 2]
 [5 2 5 3]
 [3 5 3 2]]","[[5 5 2 5 5 2 5 5 5 5 2 5 5 2 5 5 5 5 2 5]
 [2 3 3 2 2 3 3 2 2 3 3 2 2 3 3 2 2 3 3 2]
 [5 2 5 3 3 5 2 5 5 2 5 3 3 5 2 5 5 2 5 3]
 [3 5 3 2 2 3 5 3 3 5 3 2 2 3 5 3 3 5 3 2]]","['totuple', 'vmirror', 'hconcat']"
1,"[[9 5 1 5]
 [1 5 9 1]
 [9 1 5 5]
 [5 5 5 1]]","[[9 5 1 5 5 1 5 9 9 5 1 5 5 1 5 9 9 5 1 5]
 [1 5 9 1 1 9 5 1 1 5 9 1 1 9 5 1 1 5 9 1]
 [9 1 5 5 5 5 1 9 9 1 5 5 5 5 1 9 9 1 5 5]
 [5 5 5 1 1 5 5 5 5 5 5 1 1 5 5 5 5 5 5 1]]","['totuple', 'vmirror', 'hconcat']"
2,"[[4 1 1 4]
 [7 7 4 7]
 [1 4 1 1]
 [4 1 1 1]]","[[4 1 1 4 4 1 1 4 4 1 1 4 4 1 1 4 4 1 1 4]
 [7 7 4 7 7 4 7 7 7 7 4 7 7 4 7 7 7 7 4 7]
 [1 4 1 1 1 1 4 1 1 4 1 1 1 1 4 1 1 4 1 1]
 [4 1 1 1 1 1 1 4 4 1 1 1 1 1 1 4 4 1 1 1]]","['totuple', 'vmirror', 'hconcat']"
3,"[[2 2 2 2]
 [8 2 2 2]
 [2 2 8 2]
 [8 2 8 8]]","[[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
 [8 2 2 2 2 2 2 8 8 2 2 2 2 2 2 8 8 2 2 2]
 [2 2 8 2 2 8 2 2 2 2 8 2 2 8 2 2 2 2 8 2]
 [8 2 8 8 8 8 2 8 8 2 8 8 8 8 2 8 8 2 8 8]]","['totuple', 'vmirror', 'hconcat']"
4,"[[0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 2 2 0 0 0 0 0]
 [0 0 0 5 5 2 2 5 5 0 0 0]
 [0 0 0 5 3 3 3 3 5 0 0 0]
 [0 0 2 2 3 1 1 3 2 2 0 0]
 [0 0 2 2 3 1 1 3 2 2 0 0]
 [0 0 0 5 3 3 3 3 5 0 0 0]
 [0 0 0 5 5 2 2 5 5 0 0 0]
 [0 0 0 0 0 2 2 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 2]
 [0 5 5 2]
 [0 5 3 3]
 [2 2 3 1]]","['totuple', 'compress', 'tophalf', 'lefthalf']"
5,"[[0 0 0 2 2 0 0 0 0 0 0 0]
 [0 0 2 2 2 2 0 0 0 0 0 0]
 [0 2 3 1 1 3 2 0 0 0 0 0]
 [2 2 1 0 0 1 2 2 0 0 0 0]
 [2 2 1 0 0 1 2 2 0 0 0 0]
 [0 2 3 1 1 3 2 0 0 0 0 0]
 [0 0 2 2 2 2 0 0 0 0 0 0]
 [0 0 0 2 2 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 2]
 [0 0 2 2]
 [0 2 3 1]
 [2 2 1 0]]","['totuple', 'compress', 'tophalf', 'lefthalf']"
6,"[[0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 7 7 0 0 7 7 0]
 [0 0 0 0 7 2 2 3 3 2 2 7]
 [0 0 0 0 7 2 8 8 8 8 2 7]
 [0 0 0 0 0 3 8 0 0 8 3 0]
 [0 0 0 0 0 3 8 0 0 8 3 0]
 [0 0 0 0 7 2 8 8 8 8 2 7]
 [0 0 0 0 7 2 2 3 3 2 2 7]
 [0 0 0 0 0 7 7 0 0 7 7 0]]","[[0 7 7 0]
 [7 2 2 3]
 [7 2 8 8]
 [0 3 8 0]]","['totuple', 'compress', 'tophalf', 'lefthalf']"
7,"[[7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 6 6 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 6 1 1 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 6 1 1 3 4 7 7 7 7 7 7 7 7]
 [7 7 7 6 1 1 3 9 4 7 7 7 7 7 7 7 7]
 [7 7 7 6 1 3 9 9 4 7 7 7 7 7 7 7 7]
 [8 7 7 6 1 3 9 9 8 7 7 7 7 7 7 7 8]
 [7 7 6 1 1 3 9 9 4 7 7 7 7 7 7 7 7]
 [7 7 7 6 1 3 9 9 4 7 7 7 7 7 7 7 7]
 [7 7 7 6 1 1 3 9 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 6 1 1 3 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 6 1 6 1 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 6 7 6 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]]","[[7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 6 7 6 7 7 7 7 7]
 [7 7 7 7 7 7 6 6 4 1 6 1 6 7 7 7 7]
 [7 7 7 7 7 6 1 1 4 3 1 1 6 7 7 7 7]
 [7 7 7 7 6 1 1 3 4 9 3 1 1 6 7 7 7]
 [7 7 7 6 1 1 3 9 4 9 9 3 1 6 7 7 7]
 [7 7 7 6 1 3 9 9 4 9 9 3 1 1 6 7 7]
 [8 7 7 6 1 3 9 9 8 9 9 3 1 6 7 7 8]
 [7 7 6 1 1 3 9 9 4 9 9 3 1 6 7 7 7]
 [7 7 7 6 1 3 9 9 4 9 3 1 1 6 7 7 7]
 [7 7 7 6 1 1 3 9 4 3 1 1 6 7 7 7 7]
 [7 7 7 7 6 1 1 3 4 1 1 6 7 7 7 7 7]
 [7 7 7 7 6 1 6 1 4 6 6 7 7 7 7 7 7]
 [7 7 7 7 7 6 7 6 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]]","['lefthalf', 'rot180', 'height', 'width', 'crop', 'vconcat']"
8,"[[7 7 7 7 7 7 7 4 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 4 7 7 7 7 7 7 7]
 [7 7 7 7 7 1 1 4 7 7 7 7 7 7 7]
 [7 7 7 7 1 2 2 4 7 7 7 7 7 7 7]
 [7 7 7 1 2 9 9 4 7 7 7 7 7 7 7]
 [7 7 7 1 2 9 9 4 7 7 7 7 7 7 7]
 [7 7 1 2 9 9 9 4 7 7 7 7 7 7 7]
 [8 7 7 1 2 9 9 8 7 7 7 7 7 7 8]
 [7 7 7 1 2 9 9 4 7 7 7 7 7 7 7]
 [7 7 7 1 2 9 9 4 7 7 7 7 7 7 7]
 [7 7 7 7 1 2 2 4 7 7 7 7 7 7 7]
 [7 7 7 7 7 1 1 4 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 4 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 4 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 4 7 7 7 7 7 7 7]]","[[7 7 7 7 7 7 7 4 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 4 7 7 7 7 7 7 7]
 [7 7 7 7 7 1 1 4 7 7 7 7 7 7 7]
 [7 7 7 7 1 2 2 4 1 1 7 7 7 7 7]
 [7 7 7 1 2 9 9 4 2 2 1 7 7 7 7]
 [7 7 7 1 2 9 9 4 9 9 2 1 7 7 7]
 [7 7 1 2 9 9 9 4 9 9 2 1 7 7 7]
 [8 7 7 1 2 9 9 8 9 9 2 1 7 7 8]
 [7 7 7 1 2 9 9 4 9 9 9 2 1 7 7]
 [7 7 7 1 2 9 9 4 9 9 2 1 7 7 7]
 [7 7 7 7 1 2 2 4 9 9 2 1 7 7 7]
 [7 7 7 7 7 1 1 4 2 2 1 7 7 7 7]
 [7 7 7 7 7 7 7 4 1 1 7 7 7 7 7]
 [7 7 7 7 7 7 7 4 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 4 7 7 7 7 7 7 7]]","['lefthalf', 'rot180', 'height', 'width', 'crop', 'vconcat']"
9,"[[7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 5 5 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 5 5 9 9 4 7 7 7 7 7 7 7 7]
 [8 7 5 5 9 9 1 1 8 7 7 7 7 7 7 7 8]
 [7 7 5 9 1 1 1 1 4 7 7 7 7 7 7 7 7]
 [7 7 5 9 1 1 1 1 4 7 7 7 7 7 7 7 7]
 [7 7 5 9 6 6 6 6 4 7 7 7 7 7 7 7 7]
 [7 7 5 9 6 6 6 6 4 7 7 7 7 7 7 7 7]
 [7 7 5 5 9 9 6 6 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 5 5 9 9 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 5 5 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]]","[[7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 5 5 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 9 9 5 5 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 6 6 9 9 5 5 7 7]
 [7 7 7 7 7 7 7 7 4 6 6 6 6 9 5 7 7]
 [7 7 7 7 7 7 7 7 4 6 6 6 6 9 5 7 7]
 [7 7 7 7 7 7 5 5 4 1 1 1 1 9 5 7 7]
 [7 7 7 7 5 5 9 9 4 1 1 1 1 9 5 7 7]
 [8 7 5 5 9 9 1 1 8 1 1 9 9 5 5 7 8]
 [7 7 5 9 1 1 1 1 4 9 9 5 5 7 7 7 7]
 [7 7 5 9 1 1 1 1 4 5 5 7 7 7 7 7 7]
 [7 7 5 9 6 6 6 6 4 7 7 7 7 7 7 7 7]
 [7 7 5 9 6 6 6 6 4 7 7 7 7 7 7 7 7]
 [7 7 5 5 9 9 6 6 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 5 5 9 9 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 5 5 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]]","['lefthalf', 'rot180', 'height', 'width', 'crop', 'vconcat']"
